State,fips,Year,Month,Date,Monthly Cases,Monthly Deaths,US State Populations,"Monthly Cases per 100,000 People","Monthly Deaths per 100,000 People"
Alabama,1,2020,1,1/1/2020,0,0,"5,024,279",0.00,0.00
Alabama,1,2020,2,2/1/2020,0,0,"5,024,279",0.00,0.00
Alabama,1,2020,3,3/1/2020,999,14,"5,024,279",19.88,0.28
Alabama,1,2020,4,4/1/2020,"6,069",258,"5,024,279",120.79,5.14
Alabama,1,2020,5,5/1/2020,"10,884",358,"5,024,279",216.63,7.13
Alabama,1,2020,6,6/1/2020,"20,093",320,"5,024,279",399.92,6.37
Alabama,1,2020,7,7/1/2020,"49,678",630,"5,024,279",988.76,12.54
Alabama,1,2020,8,8/1/2020,"38,335",602,"5,024,279",763.00,11.98
Alabama,1,2020,9,9/1/2020,"28,643",358,"5,024,279",570.09,7.13
Alabama,1,2020,10,10/1/2020,"37,584",427,"5,024,279",748.05,8.50
Alabama,1,2020,11,11/1/2020,"57,239",611,"5,024,279","1,139.25",12.16
Alabama,1,2020,12,12/1/2020,"111,702","1,249","5,024,279","2,223.24",24.86
Alabama,1,2021,1,1/1/2021,"98,413","2,861","5,024,279","1,958.75",56.94
Alabama,1,2021,2,2/1/2021,"33,613","2,241","5,024,279",669.01,44.60
Alabama,1,2021,3,3/1/2021,"22,136",625,"5,024,279",440.58,12.44
Alabama,1,2021,4,4/1/2021,"12,534",342,"5,024,279",249.47,6.81
Alabama,1,2021,5,5/1/2021,"15,483",250,"5,024,279",308.16,4.98
Alabama,1,2021,6,6/1/2021,"3,918",120,"5,024,279",77.98,2.39
Alaska,2,2020,1,1/1/2020,0,0,"733,391",0.00,0.00
Alaska,2,2020,2,2/1/2020,0,0,"733,391",0.00,0.00
Alaska,2,2020,3,3/1/2020,133,2,"733,391",18.13,0.27
Alaska,2,2020,4,4/1/2020,220,5,"733,391",30.00,0.68
Alaska,2,2020,5,5/1/2020,116,1,"733,391",15.82,0.14
Alaska,2,2020,6,6/1/2020,663,4,"733,391",90.40,0.55
Alaska,2,2020,7,7/1/2020,"2,543",9,"733,391",346.75,1.23
Alaska,2,2020,8,8/1/2020,"2,400",13,"733,391",327.25,1.77
Alaska,2,2020,9,9/1/2020,"2,632",18,"733,391",358.88,2.45
Alaska,2,2020,10,10/1/2020,"7,540",25,"733,391","1,028.10",3.41
