date,Province/State,Country/Region,CountryCode,fips,cases,deaths,Daily Change in Cases,Daily Change in Deaths
3/13/2020,Alabama,US,USA,1,6,0,6,0
3/14/2020,Alabama,US,USA,1,12,0,6,0
3/15/2020,Alabama,US,USA,1,23,0,11,0
3/16/2020,Alabama,US,USA,1,29,0,6,0
3/17/2020,Alabama,US,USA,1,39,0,10,0
3/18/2020,Alabama,US,USA,1,51,0,12,0
3/19/2020,Alabama,US,USA,1,78,0,27,0
3/20/2020,Alabama,US,USA,1,106,0,28,0
3/21/2020,Alabama,US,USA,1,131,0,25,0
3/22/2020,Alabama,US,USA,1,157,0,26,0
3/23/2020,Alabama,US,USA,1,196,0,39,0
3/24/2020,Alabama,US,USA,1,242,0,46,0
3/25/2020,Alabama,US,USA,1,386,1,144,1
3/26/2020,Alabama,US,USA,1,538,3,152,2
3/27/2020,Alabama,US,USA,1,639,4,101,1
3/28/2020,Alabama,US,USA,1,720,4,81,0
3/29/2020,Alabama,US,USA,1,830,5,110,1
3/30/2020,Alabama,US,USA,1,947,11,117,6
3/31/2020,Alabama,US,USA,1,999,14,52,3
4/1/2020,Alabama,US,USA,1,1108,28,109,14
4/2/2020,Alabama,US,USA,1,1270,32,162,4
4/3/2020,Alabama,US,USA,1,1535,38,265,6
4/4/2020,Alabama,US,USA,1,1632,44,97,6
4/5/2020,Alabama,US,USA,1,1840,45,208,1
4/6/2020,Alabama,US,USA,1,2005,53,165,8
4/7/2020,Alabama,US,USA,1,2197,64,192,11
4/8/2020,Alabama,US,USA,1,2498,67,301,3
4/9/2020,Alabama,US,USA,1,2838,78,340,11
4/10/2020,Alabama,US,USA,1,3008,80,170,2
4/11/2020,Alabama,US,USA,1,3262,93,254,13
4/12/2020,Alabama,US,USA,1,3583,93,321,0
4/13/2020,Alabama,US,USA,1,3805,104,222,11
4/14/2020,Alabama,US,USA,1,3953,114,148,10
4/15/2020,Alabama,US,USA,1,4241,123,288,9
4/16/2020,Alabama,US,USA,1,4404,137,163,14
4/17/2020,Alabama,US,USA,1,4572,151,168,14
4/18/2020,Alabama,US,USA,1,4723,147,151,-4
4/19/2020,Alabama,US,USA,1,4903,160,180,13
4/20/2020,Alabama,US,USA,1,5078,164,175,4
4/21/2020,Alabama,US,USA,1,5327,186,249,22
4/22/2020,Alabama,US,USA,1,5610,201,283,15
4/23/2020,Alabama,US,USA,1,5832,197,222,-4
4/24/2020,Alabama,US,USA,1,6026,209,194,12
4/25/2020,Alabama,US,USA,1,6213,213,187,4
4/26/2020,Alabama,US,USA,1,6421,219,208,6
4/27/2020,Alabama,US,USA,1,6539,228,118,9
4/28/2020,Alabama,US,USA,1,6750,242,211,14
4/29/2020,Alabama,US,USA,1,6925,262,175,20
4/30/2020,Alabama,US,USA,1,7068,272,143,10
5/1/2020,Alabama,US,USA,1,7294,289,226,17
5/2/2020,Alabama,US,USA,1,7611,288,317,-1
5/3/2020,Alabama,US,USA,1,7888,290,277,2
5/4/2020,Alabama,US,USA,1,8112,298,224,8
5/5/2020,Alabama,US,USA,1,8437,315,325,17
5/6/2020,Alabama,US,USA,1,8691,343,254,28
5/7/2020,Alabama,US,USA,1,9046,369,355,26
