State,id,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021
Alabama,01,0,0,0.28,5.14,7.13,6.37,12.54,11.98,7.13,8.5,12.16,24.86,56.94,44.6,12.44,6.81,4.98,2.39
Alaska,02,0,0,0.27,0.68,0.14,0.55,1.23,1.77,2.45,3.41,5.18,11.32,7.5,3.55,2.73,4.23,3,0.55
Arizona,04,0,0,0.34,4.14,8.19,10.33,28.67,18.68,8.71,4.54,9.24,31.31,59.3,39.99,13.8,4.99,4.25,1.86
Arkansas,05,0,0,0.27,1.76,2.39,4.55,6.08,11.42,18.99,18.46,19.16,38.98,39.58,12.45,12.72,3.75,3.12,0.9
California,06,0,0,0.47,4.74,5.53,4.66,7.94,9.61,7.28,4.46,3.92,17.09,37.84,28.54,17.82,6.31,3.78,0.83
Colorado,08,0,0,1.2,12.23,11.6,4.24,2.62,1.92,1.89,4.3,13.01,31.5,14.41,5.78,2.25,4.45,5.04,1.89
Connecticut,09,0,0,1.91,60.68,46.78,10.48,3.05,0.92,1.19,3,11.2,27.04,29.15,15.97,7.32,5.85,3.91,0.64
Delaware,10,0,0,1.01,14.34,21.62,14.45,7.68,2.02,3.13,7.27,6.46,15.56,16.57,33.54,13.84,6.67,3.64,1.82
District of Columbia,11,0,0,1.31,31.18,35.1,12.33,4.93,3.19,2.9,2.76,4.93,15.37,18.42,15.08,6.82,5.95,3.92,0.73
Florida,12,0,0,0.39,5.49,5.49,4.89,15.5,20.17,14.53,11.35,8.52,14.28,22.31,20.3,11.95,8.06,7.49,2.28
Georgia,13,0,0,1.18,9.29,8.38,6.9,8.55,17.1,12.65,8.67,13.14,12.98,29.78,27.81,16.02,10.18,5.75,2.81
Hawaii,15,0,0,0.07,1.03,0.07,0.07,0.48,3.02,4.54,5.7,1.65,3.02,8.31,1.99,1.65,1.37,1.17,0.41
Idaho,16,0,0,0.49,2.94,1.03,0.54,5.49,9.3,5.71,8.75,16.69,27.24,15.71,7.34,5.6,4.51,2.39,1.47
Illinois,17,0,0,0.84,17.59,23.92,13.35,4.43,4.33,5.28,8.55,23.3,38.74,25.47,11.65,6.59,5.56,7.27,1.92
Indiana,18,0,0,0.9,15.52,15.03,7.46,4.79,4.88,4.95,10.32,20.5,37.43,25.22,38.3,6.87,4.32,4.24,1.84
Iowa,19,0,0,0.22,4.86,11.75,5.64,4.86,7.77,7.46,11.22,22.25,45.92,31.66,17.83,8.56,6.49,3.29,1.38
Kansas,20,0,0,0.34,4.19,2.65,2.21,2.79,3.17,7.73,11.95,18.07,40.2,35.33,32.54,6.06,3.81,3.03,0.88
Kentucky,21,0,0,0.4,4.93,4.46,3.26,3.66,4.71,5.39,7.61,11.41,19.77,22.66,17.95,30.29,10.41,7.06,5.88
Louisiana,22,0,0,5.15,35.75,19.02,9.23,15.63,21.49,12.04,8.76,10.76,22.93,29.43,16.08,11.44,5.17,4.17,1.55
Maine,23,0,0,0.37,3.52,2.64,1.17,1.32,0.66,0.66,0.44,3.45,11.23,17.84,8.29,2.94,3.01,3.01,1.47
Maryland,24,0,0,0.29,18.15,22.55,10.65,4.91,4.24,3.14,3.21,8,20.3,19.94,12.01,6.75,7.41,14.08,1.12
Massachusetts,25,0,0,1.27,49.4,46.71,17.18,7.89,6.42,5.63,7.61,10.77,23.83,30.64,21.92,15.18,6.05,3.73,0.95
Michigan,26,0,0,2.62,34.97,16.9,7.01,2.54,3.01,3.25,6.1,18.52,34.19,24.87,9.74,6.09,16.18,16.06,4
Minnesota,27,0,0,0.21,5.8,12.39,7.47,2.87,3.96,3.91,7.4,19.99,30.32,15.53,4.96,6.57,5.45,4.94,1.35
Mississippi,28,0,0,0.68,8.14,15.97,11.45,19.92,27.35,16.75,12.33,15.97,33.09,42.48,21.48,11.85,5.64,3.95,1.25
Missouri,29,0,0,0.24,5.3,7.2,4.11,4.35,5.17,8.68,15.16,14.48,30.97,20.94,19.59,9.67,4.32,7.04,2.06
